Name;Latitude;Longitude
MM_11;-7,168107000;37,6221781
LMW_8;-7,167952000;37,6222177
MM_10;-7,167996000;37,6221321
MM_9;-7,167856000;37,6221255
MM_8;-7,167826000;37,6220801
MM_7;-7,167713000;37,6220575
LMW_7a;-7,167623000;37,6220073
LMW_6;-7,167352000;37,6216597
LMW_5;-7,167449000;37,6217009
MM_5;-7,167445000;37,6215158
MM_4;-7,167398300;37,6215402
MM_3;-7,167356700;37,6215633
MM_2;-7,167328500;37,6215631
MM_1;-7,167267200;37,6216021
LMW_4;-7,167350300;37,6215976
LMW_3;-7,166594600;37,6213960
LMW_2;-7,166864500;37,6214029
LMW_1;-7,165842300;37,6220166
MM_35;-7,169038400;37,6224105
MM_34;-7,169032100;37,6225087
MM_33;-7,169109800;37,6226688
MM_32;-7,169403200;37,6226704
MM_31;-7,169584600;37,6227312
LMW_23;-7,169958400;37,6227546
LMW_24;-7,169911500;37,6226914
LMW_22;-7,170036200;37,6226152
LMW_21;-7,170576000;37,6225812
LMW_20;-7,170116700;37,6228826
LMW_19;-7,169811200;37,6229758
LMW_18;-7,169768300;37,6228319
LMW_17;-7,169570200;37,6228574
LMW_16;-7,169206400;37,6229570
LMW_15;-7,169026000;37,6227666
LMW_14;-7,168789000;37,6227828
LMW_13_a;-7,168715600;37,6227668
LMW_12;-7,168522100;37,6227782
LMW_11;-7,168393700;37,6227081
LMW_10;-7,168338000;37,6225809
MM_12;-7,168160000;37,6225481
MM_13;-7,168101300;37,6225369
MM_14;-7,168027500;37,6225317
MM_15;-7,167980400;37,6225093
MM_16;-7,167938400;37,6225007
MM_17;-7,167907500;37,6224881
MM_19;-7,167877200;37,6224723
MM_21;-7,167835200;37,6225091
MM_20;-7,167824800;37,6224899
MM_22;-7,167794200;37,6225217
MM_26;-7,167756700;37,6224965
MM_28;-7,167729500;37,6224693
MM_27;-7,167702800;37,6224863
MM_25;-7,167664000;37,6225000
MM_23;-7,167641000;37,6224693
MM_24;-7,168810400;37,6222232
LMW_9_a;-7,168258200;37,6223584
MM_18;-7,168388400;37,6222078
LA_2024_1;-7,168080000;37,6227700
LA_2024_10;-7,167280000;37,6251000
LA_2024_11;-7,167540000;37,6252800
LA_2024_12;-7,167820000;37,6251700
LA_2024_13;-7,168150000;37,6250200
LA_2024_14;-7,168330000;37,6246900
LA_2024_15;-7,168690000;37,6246600
LA_2024_16;-7,168860000;37,6244800
LA_2024_17;-7,168990000;37,6243000
LA_2024_18;-7,169080000;37,6240900
LA_2024_19;-7,169440000;37,6240200
LA_2024_2;-7,167830000;37,6229800
LA_2024_20;-7,169720000;37,6241500
LA_2024_21;-7,166960000;37,6241200
LA_2024_22;-7,166900000;37,6239400
LA_2024_23;-7,166630000;37,6238900
LA_2024_24;-7,166620000;37,6239000
LA_2024_25;-7,166080000;37,6236000
LA_2024_26;-7,166160000;37,6233300
LA_2024_27;-7,165880000;37,6231600
LA_2024_28;-7,165650000;37,6229800
LA_2024_29;-7,165380000;37,6229300
LA_2024_3;-7,167690000;37,6232600
LA_2024_30;-7,165090000;37,6228600
LA_2024_31;-7,165100000;37,6231200
LA_2024_32;-7,165070000;37,6233700
LA_2024_4;-7,167580000;37,6235200
LA_2024_5;-7,167420000;37,6238400
LA_2024_6;-7,167420000;37,6241000
LA_2024_7;-7,167260000;37,6243200
LA_2024_8;-7,167110000;37,6246100
LA_2024_9;-7,167080000;37,6249700
;;
;;
